paper_id,venue,title,override_type,cluster_id,cluster_label
GjBvGKIalG,ICLR 2026,EAGLE: Efficient Analytical Gradient LinearEvaluation for Enhanced Recomputation in Large Language Models,accept_to_reject,0,Benchmark and evaluation adequacy
0G8Cq9z2Hp,ICLR 2026,Efficient Prediction of Large Protein Complexes via Subunit-Guided Hierarchical Refinement,reject_to_accept,0,Benchmark and evaluation adequacy
aR6QpqqIo9,ICLR 2026,T2I-ConBench: Text-to-Image Benchmark for Continual Post-training,accept_to_reject,0,Benchmark and evaluation adequacy
LgeMkjbasf,ICLR 2026,"Stabilizing Knowledge, Promoting Reasoning: Dual-Token Constraints for RLVR",accept_to_reject,0,Benchmark and evaluation adequacy
mPaHEZFLi2,ICLR 2026,Evaluation Faking: Unveiling Observer Effects in Safety Evaluation of Frontier AI Systems,accept_to_reject,0,Benchmark and evaluation adequacy
PlkzZhqBCd,ICLR 2026,Enhancing Language Model Reasoning with Structured Multi-Level Modeling,reject_to_accept,0,Benchmark and evaluation adequacy
uxJxJ454Jb,ICLR 2026,Weakly Supervised Forgery Localization and Detection Method for Face Manipulations,accept_to_reject,0,Benchmark and evaluation adequacy
g9D9MgG7iW,ICLR 2026,Tools are under-documented: Simple Document Expansion Boosts Tool Retrieval,reject_to_accept,0,Benchmark and evaluation adequacy
lndDn7i8W6,ICLR 2026,Leveraging Discrete Function Decomposability for Scientific Design,reject_to_accept,0,Benchmark and evaluation adequacy
4ihxXIakoY,ICLR 2026,On the Adversarial Robustness of Discrete Image Tokenizers,accept_to_reject,0,Benchmark and evaluation adequacy
4y25Ifytn8,ICLR 2026,CFT-RAG: An Entity Tree Based Retrieval Augmented Generation Algorithm With Cuckoo Filter,reject_to_accept,0,Benchmark and evaluation adequacy
d4Ymeep2Rz,ICLR 2026,Beyond Worst-Case: Efficient Robust RL via In-Context Generalization,accept_to_reject,0,Benchmark and evaluation adequacy
dBmjnRR1bC,ICLR 2026,RLAC: Reinforcement Learning with Adversarial Critic for Free-Form Generation Tasks,reject_to_accept,0,Benchmark and evaluation adequacy
FinhjyDgYA,ICLR 2026,Hyper-SET: Designing Transformers via Hyperspherical Energy Minimization,reject_to_accept,0,Benchmark and evaluation adequacy
5MB5vakrhB,ICLR 2026,Beyond Linear Processing: Dendritic Bilinear Integration in Spiking Neural Networks,reject_to_accept,0,Benchmark and evaluation adequacy
cBoYkLG3EJ,ICLR 2026,EvolProver: Advancing Automated theorem proving by Evolving Formalized Problems via Symmetry and Difficulty,reject_to_accept,0,Benchmark and evaluation adequacy
m4nvqQkm4X,ICLR 2026,Reference-guided Policy Optimization for Molecular Optimization via LLM Reasoning,reject_to_accept,0,Benchmark and evaluation adequacy
kHVzEjThKE,ICLR 2026,What Do Large Language Models Know About Opinions?,reject_to_accept,0,Benchmark and evaluation adequacy
22Hh0Vj5Dd,ICLR 2026,Exploring the Potential of Encoder-free Architectures in 3D LMMs,reject_to_accept,0,Benchmark and evaluation adequacy
bpF8zgSt41,ICLR 2026,How Transformers Learn Causal Structures In-Context: Explainable Mechanism Meets Theoretical Guarantee,reject_to_accept,0,Benchmark and evaluation adequacy
cCIdxLoLJ5,ICLR 2026,The Information Bottleneck of Chain-of-Thought and How Latent CoT Overcomes It,accept_to_reject,0,Benchmark and evaluation adequacy
Vu8YXDooG5,ICLR 2026,PETRI: Learning Unified Cell Embeddings from Unpaired Modalities via Early-Fusion Joint Reconstruction,reject_to_accept,0,Benchmark and evaluation adequacy
h5KLpGoqzC,ICLR 2026,Hierarchical Semantic-Acoustic Modeling via Semi-Discrete Residual Representations for Expressive End-to-End Speech Synthesis,reject_to_accept,0,Benchmark and evaluation adequacy
wZUv9atpni,ICLR 2026,SAMOSA: Sharpness Aware Minimization for Open Set Active learning,accept_to_reject,0,Benchmark and evaluation adequacy
ZURYrJgigi,ICLR 2026,Topological Anomaly Quantification for Semi-supervised Graph Anomaly Detection,reject_to_accept,0,Benchmark and evaluation adequacy
j2QTOOtM8R,ICLR 2026,COSMOS: A Hybrid Adaptive Optimizer for Efficient Training of Large Language Models,reject_to_accept,0,Benchmark and evaluation adequacy
XhqoDBouWS,ICLR 2026,Why Attention Patterns Exist: A Unifying Temporal Perspective Analysis,reject_to_accept,0,Benchmark and evaluation adequacy
ULxerRB2DF,ICLR 2026,Harnessing Optimization Dynamics for Curvature-Informed Model Merging,accept_to_reject,0,Benchmark and evaluation adequacy
6WGLc72ljG,ICLR 2026,"Better, Faster: Harnessing Self-Improvement in Large Reasoning Models",accept_to_reject,0,Benchmark and evaluation adequacy
eTThjhjzwZ,ICLR 2026,Trajectory Generation with Conservative Value Guidance for Offline Reinforcement Learning,reject_to_accept,0,Benchmark and evaluation adequacy
uD9UT0gHLH,ICLR 2026,Offline Reinforcement Learning with Adaptive Feature Fusion,reject_to_accept,0,Benchmark and evaluation adequacy
itUo64aUeK,ICLR 2026,"Overtone: Cyclic Patch Modulation for Clean, Efficient, and Flexible Physics Emulators",reject_to_accept,0,Benchmark and evaluation adequacy
ZOREAbteO5,ICLR 2026,PTNET: A PROPOSAL-CENTRIC TRANSFORMER NET- WORK FOR 3D OBJECT DETECTION,reject_to_accept,0,Benchmark and evaluation adequacy
lpYHuxPEXV,ICLR 2026,Jacobian Aligned Random Forests,reject_to_accept,0,Benchmark and evaluation adequacy
VaBkEapGl5,ICLR 2026,Scaling Knowledge Graph Construction through Synthetic Data Generation and Distillation,reject_to_accept,0,Benchmark and evaluation adequacy
Z6dVYEqurT,ICLR 2026,MILCO: Learned Sparse Retrieval Across Languages via a Multilingual Connector,reject_to_accept,0,Benchmark and evaluation adequacy
WtH2JxKJKf,ICLR 2026,Are Deep Speech Denoising Models Robust to Adversarial Noise?,reject_to_accept,0,Benchmark and evaluation adequacy
Kt9tJeOwjy,ICLR 2026,RFS: Reinforcement learning with Residual flow steering for dexterous manipulation,reject_to_accept,0,Benchmark and evaluation adequacy
NBGfdY7vRN,ICLR 2026,Interpretable time series analysis with Gumbel dynamics,accept_to_reject,0,Benchmark and evaluation adequacy
b1ITgc4J4M,ICLR 2026,Residual Feature Integration is Sufficient to Prevent Negative Transfer,reject_to_accept,0,Benchmark and evaluation adequacy
P3Z7HhMtW1,ICLR 2026,Influence-Guided Active Search for Poisoned Data Forensics,accept_to_reject,0,Benchmark and evaluation adequacy
CRBt6DNaBE,ICLR 2026,MASS: MoErging through Adaptive Subspace Selection,reject_to_accept,0,Benchmark and evaluation adequacy
3CKdjb5SuH,ICLR 2026,Once-More: Continuous Self-Correction for Large Language Models via Perplexity-Guided Intervention,reject_to_accept,0,Benchmark and evaluation adequacy
CVXpkc3bXc,ICLR 2026,Kronecker Factorization Improves Efficiency and Interpretability of Sparse Autoencoders,accept_to_reject,0,Benchmark and evaluation adequacy
c1bTcrDmt4,ICLR 2026,Rubrics as Rewards: Reinforcement Learning Beyond Verifiable Domains,reject_to_accept,0,Benchmark and evaluation adequacy
zSTgrLkpRi,ICLR 2026,Predictive Differential Training Guided by Training Dynamics,reject_to_accept,0,Benchmark and evaluation adequacy
FHFDCsB9UC,ICLR 2026,Flowing Through States: Neural ODE Regularization for Reinforcement Learning,reject_to_accept,0,Benchmark and evaluation adequacy
AQo1SEElNb,ICLR 2026,Selective Rotary Position Embedding,reject_to_accept,0,Benchmark and evaluation adequacy
EW8DskWQ1K,ICLR 2026,Occupancy Reward Shaping: Improving Credit Assignment for Offline Goal-Conditioned Reinforcement Learning,reject_to_accept,0,Benchmark and evaluation adequacy
uZGEEL20mU,ICLR 2026,Learnable Fractional Superlets with a Spectro-Temporal Emotion Encoder for Speech Emotion Recognition,reject_to_accept,0,Benchmark and evaluation adequacy
haVf5e4Q6C,ICLR 2026,Inpainting-Guided Policy Optimization for Diffusion Large Language Models,reject_to_accept,0,Benchmark and evaluation adequacy
mXQslpfSU5,ICLR 2026,MLE-Smith: Scaling MLE Tasks with Automated Multi-agent Pipeline,reject_to_accept,0,Benchmark and evaluation adequacy
Z10pxu0Q7X,ICLR 2026,What's the plan? Metrics for implicit planning in LLMs and their application to rhyme generation and question answering,reject_to_accept,0,Benchmark and evaluation adequacy
omnybNZPv1,ICLR 2026,Inference-based Rewards for Reinforcement Learning,accept_to_reject,0,Benchmark and evaluation adequacy
7axclBCYul,ICLR 2026,Qronos: Correcting the Past by Shaping the Future... in Post-Training Quantization,reject_to_accept,0,Benchmark and evaluation adequacy
u0UjdCMPLc,ICLR 2026,EnsembleSHAP: Faithful and Certifiably Robust Attribution for Random Subspace Method,reject_to_accept,0,Benchmark and evaluation adequacy
ZTFbk7e3SN,ICLR 2026,Adversarial Graph Neural Network Benchmarks: Towards Practical and Fair Evaluation,accept_to_reject,0,Benchmark and evaluation adequacy
SLhLUdlaqc,ICLR 2026,Parameter-Efficient Reinforcement Learning using Prefix Optimization,reject_to_accept,0,Benchmark and evaluation adequacy
QaAgHKbJop,ICLR 2026,Unified Multi-Modal Interactive and Reactive 3D Motion Generation via Rectified Flow,reject_to_accept,0,Benchmark and evaluation adequacy
7fn75St2Ee,ICLR 2026,ProteinZero: Self-Improving Protein Generation via Online Reinforcement Learning,accept_to_reject,0,Benchmark and evaluation adequacy
iok8ebFKPQ,ICLR 2026,Atom-anchored LLMs speak Chemistry: A Retrosynthesis Demonstration,accept_to_reject,0,Benchmark and evaluation adequacy
0ucmlIQTlu,ICLR 2026,Personalized Feature Translation for Expression Recognition: An Efficient Source-Free Domain Adaptation Method,reject_to_accept,0,Benchmark and evaluation adequacy
qbtHYeUjfz,ICLR 2026,Scaling Multi-Agent Environment Co-Design with Diffusion Models,accept_to_reject,0,Benchmark and evaluation adequacy
m276fke38H,ICLR 2026,In Good GRACES: Principled Teacher Selection for Knowledge Distillation,reject_to_accept,0,Benchmark and evaluation adequacy
itoNJ3gJl2,ICLR 2026,Group Representational Position Encoding,reject_to_accept,0,Benchmark and evaluation adequacy
75ce9hnKne,ICLR 2026,When Bias Meets Trainability: Connecting Theories of Initialization,reject_to_accept,0,Benchmark and evaluation adequacy
Neye9jlM73,ICLR 2026,Pragmatic Curiosity: Unifying Bayesian Optimization and Experimental Design via Active Inference,accept_to_reject,0,Benchmark and evaluation adequacy
dpPW15y3n8,ICLR 2026,ATLAS: Learning to Optimally Memorize the Context at Test Time,accept_to_reject,0,Benchmark and evaluation adequacy
sYk9GaFHEf,ICLR 2026,CERTIFIED VS. EMPIRICAL ADVERSARIAL ROBUSTNESS VIA HYBRID CONVOLUTIONS WITH ATTENTION STOCHASTICITY,reject_to_accept,0,Benchmark and evaluation adequacy
LR6a5ZX51E,ICLR 2026,Algorithmic Primitives and Compositional Geometry of Reasoning in Language Models,accept_to_reject,0,Benchmark and evaluation adequacy
Yso3MCJM0e,ICLR 2026,Statistically Undetectable Backdoors in Deep Neural Networks,accept_to_reject,0,Benchmark and evaluation adequacy
N7ziRPTNdT,ICLR 2026,Generation is Required for Data-Efficient Perception,accept_to_reject,0,Benchmark and evaluation adequacy
ZdGB7MNQDT,ICLR 2026,GraphPlanner: Graph Memory-Augmented Agentic Routing for Multi-Agent LLMs,reject_to_accept,0,Benchmark and evaluation adequacy
PiB9VXYFZE,ICLR 2026,UniFast-HGR: Scalable and Efficient Maximal Correlation for Multimodal Models,accept_to_reject,0,Benchmark and evaluation adequacy
0M6BfcAVMW,ICLR 2026,TusoAI: Agentic Optimization for Scientific Methods,reject_to_accept,0,Benchmark and evaluation adequacy
oLBIcEHhxs,ICLR 2026,CoSpaDi: Compressing LLMs via Calibration-Guided Sparse Dictionary Learning,accept_to_reject,0,Benchmark and evaluation adequacy
ONpyYavBqR,ICLR 2026,A Graph Meta-Network for Learning on Kolmogorov–Arnold Networks,reject_to_accept,0,Benchmark and evaluation adequacy
MHA8oTxoei,ICLR 2026,Investigating the Link Between Representational Similarity and Model Interactions,accept_to_reject,0,Benchmark and evaluation adequacy
quxeCxJwKm,ICLR 2026,A Diffusion Model to Shrink Proteins While Maintaining Their Function,reject_to_accept,0,Benchmark and evaluation adequacy
g6xbW1FFXf,ICLR 2026,First Try Matters: Revisiting the Role of Reflection in Reasoning Models,accept_to_reject,0,Benchmark and evaluation adequacy
VI2YaggHIF,ICLR 2026,DeepRAG: Thinking to Retrieve Step by Step for Large Language Models,reject_to_accept,0,Benchmark and evaluation adequacy
5og80LMVxG,ICLR 2026,Latent Wavelet Diffusion For Ultra High-Resolution Image Synthesis,reject_to_accept,0,Benchmark and evaluation adequacy
F7GmbfyVg9,ICLR 2026,FlexiVoice: Enabling Flexible Style Control in Zero-Shot TTS with Natural Language Instructions,reject_to_accept,0,Benchmark and evaluation adequacy
3lSqgESdPu,ICLR 2026,Implicit Regularisation in Diffusion Models: An Algorithm-Dependent Generalisation Analysis,reject_to_accept,0,Benchmark and evaluation adequacy
M19J8UGguq,ICLR 2026,PolySHAP: Extending KernelSHAP with Interaction-Informed Polynomial Regression,reject_to_accept,0,Benchmark and evaluation adequacy
Sswng2ToR4,ICLR 2026,Downgrade to Upgrade: Optimizer Simplification Enhances Robustness in LLM Unlearning,reject_to_accept,0,Benchmark and evaluation adequacy
dbZeLxOCIs,ICLR 2026,GRAM-DTI: Adaptive Multimodal Representation Learning for Drug–Target Interaction Prediction,reject_to_accept,0,Benchmark and evaluation adequacy
nV3SAjFlyv,ICLR 2026,Rethinking Radiology Report Generation: From Narrative Flow to Topic-Guided Findings,reject_to_accept,0,Benchmark and evaluation adequacy
2za3iNkwXn,ICLR 2026,When Reasoning Meets Compression: Understanding the Effects of LLMs Compression on Large Reasoning Models,reject_to_accept,0,Benchmark and evaluation adequacy
vokk8t1gnp,ICLR 2026,Weak Correlations as the Underlying Principle for Linearization of Gradient-Based Learning Systems,reject_to_accept,0,Benchmark and evaluation adequacy
Zk0zZMSAYc,ICLR 2026,Grouping Nodes with known Value Differences: A lossless UCT-based Abstraction Algorithm,reject_to_accept,0,Benchmark and evaluation adequacy
1Bf0tToGT1,ICLR 2026,Diversity-Enhanced Reasoning for Subjective Questions,reject_to_accept,0,Benchmark and evaluation adequacy
945vCIUZWt,ICLR 2026,Guided and Interpretable Neural Operator Design for Partial Differential Equation Learning,accept_to_reject,0,Benchmark and evaluation adequacy
nuAQ0okd8i,ICLR 2026,SELECTIVE FINE-TUNING FOR TARGETED AND ROBUST CONCEPT UNLEARNING,accept_to_reject,0,Benchmark and evaluation adequacy
JfU0pqSzBu,ICLR 2026,When Less Is More: Uncovering the Robustness Advantage of Model Pruning,accept_to_reject,0,Benchmark and evaluation adequacy
4jMeUvcO26,ICLR 2026,Surrogate Modeling of 3D Rayleigh-Bénard Convection with Equivariant Autoencoders,accept_to_reject,0,Benchmark and evaluation adequacy
wdY1VxgHK6,ICLR 2026,IFDECORATOR: Wrapping Instruction Following Reinforcement Learning with Verifiable Rewards,accept_to_reject,0,Benchmark and evaluation adequacy
gxCOTacltM,ICLR 2026,Perturbed Dynamic Time Warping: A Probabilistic Framework and Generalized Variants,reject_to_accept,0,Benchmark and evaluation adequacy
5C3LljOEGC,ICLR 2026,HATSolver: Learning Gröbner Bases with Hierarchical Attention Transformers,reject_to_accept,0,Benchmark and evaluation adequacy
UI7mbsIZeN,ICLR 2026,Dyslexify: A Mechanistic Defense Against Typographic Attacks in CLIP,reject_to_accept,0,Benchmark and evaluation adequacy
PcjIe5xNaY,ICLR 2026,Reasoning on Time-Series for Financial Technical Analysis,reject_to_accept,0,Benchmark and evaluation adequacy
YVEQTMndCk,ICLR 2026,Bayesian Combinatorial Lottery Ticket Machine: Bayes Meets Extremal Combinatorics,accept_to_reject,0,Benchmark and evaluation adequacy
N22lDHYrXe,ICLR 2026,Experience-based Knowledge Correction for Robust Planning in Minecraft,reject_to_accept,0,Benchmark and evaluation adequacy
2FFhwssQda,ICLR 2026,Buckingham $\pi$-Invariant Test‑Time Projection for Robust PDE Surrogate Modeling,reject_to_accept,0,Benchmark and evaluation adequacy
rPrNaDJrLx,ICLR 2026,Improving and Accelerating Offline RL in Large Discrete Action Spaces with Structured Policy Initialization,reject_to_accept,0,Benchmark and evaluation adequacy
R1l46h8kyM,ICLR 2026,GAS: Improving Discretization of Diffusion ODEs via Generalized Adversarial Solver,reject_to_accept,0,Benchmark and evaluation adequacy
zfVICPB5Sv,ICLR 2026,Silent Leaks: Implicit Knowledge Extraction Attack on RAG Systems,reject_to_accept,0,Benchmark and evaluation adequacy
2u5ZRzDyS0,ICLR 2026,Your Models Have Thought Enough: Training Large Reasoning Models to Stop Overthinking,reject_to_accept,0,Benchmark and evaluation adequacy
rQXBw8fn3Z,ICLR 2026,BOTS: A Unified Framework for Bayesian Online Task Selection in LLM Reinforcement Finetuning,reject_to_accept,0,Benchmark and evaluation adequacy
UQZ0Y0dbP9,ICLR 2026,CodeGenGuard: A Watermark for Code Generation Models,reject_to_accept,0,Benchmark and evaluation adequacy
omVhYvyTPJ,ICLR 2026,LongRLVR: Long-Context Reinforcement Learning Requires Verifiable Context Rewards,reject_to_accept,0,Benchmark and evaluation adequacy
T9PNKPmjGc,ICLR 2026,Designing Time Series Experiments in A/B Testing with Transformer Reinforcement Learning,reject_to_accept,0,Benchmark and evaluation adequacy
axlFycAkoL,ICLR 2026,Selective Expert Guidance for Effective and Diverse Exploration in Reinforcement Learning of LLMs,reject_to_accept,0,Benchmark and evaluation adequacy
nupbCYlmEE,ICLR 2026,Optimizing Language Models for Crosslingual Knowledge Consistency,accept_to_reject,0,Benchmark and evaluation adequacy
SS7Mkejt5P,ICLR 2026,Online Multi-Agent Control with Adversarial Disturbances,accept_to_reject,0,Benchmark and evaluation adequacy
4fclVIrUg2,ICLR 2026,AlignDiff: Exploiting Model-Intrinsic Information for Better Preference Data Selection,accept_to_reject,0,Benchmark and evaluation adequacy
N3XCVHZGW5,ICLR 2026,Compositional amortized inference for large-scale hierarchical Bayesian models,reject_to_accept,0,Benchmark and evaluation adequacy
NMvIw1Uwm2,ICLR 2026,Better LMO-based Momentum Methods with Second-Order Information,accept_to_reject,0,Benchmark and evaluation adequacy
R900G8z0cm,ICLR 2026,Task-Constrained Optimization for Entity-Relation Extraction,accept_to_reject,0,Benchmark and evaluation adequacy
VUD6vh46os,ICLR 2026,Dripper: Token-Efficient Main HTML Extraction with a Lightweight LM,accept_to_reject,0,Benchmark and evaluation adequacy
zd9R2T4HiX,ICLR 2026,Synthesising Counterfactual Explanations via Label-Conditional Gaussian Mixture Variational Autoencoders,reject_to_accept,0,Benchmark and evaluation adequacy
HPeiH7da0Z,ICLR 2026,Sculptor: Empowering LLMs with Cognitive Agency via Active Context Management,reject_to_accept,0,Benchmark and evaluation adequacy
gvFOB8VCMr,ICLR 2026,"Rethinking GNNs and Missing Features: Challenges, Evaluation and a Robust Solution",accept_to_reject,0,Benchmark and evaluation adequacy
zq3vAmuUk9,ICLR 2026,"AgentRL: Scaling Agentic Reinforcement Learning with a Multi-Turn, Multi-Task Framework",accept_to_reject,0,Benchmark and evaluation adequacy
xSa19DAieH,ICLR 2026,Stable-LoRA: Stabilizing Feature Learning of Low-Rank Adaptation,reject_to_accept,0,Benchmark and evaluation adequacy
P23YpnH3kq,ICLR 2026,Stepwise Feature Learning in Self-Supervised Learning,accept_to_reject,0,Benchmark and evaluation adequacy
kJKnP1aiGS,ICLR 2026,Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting,accept_to_reject,0,Benchmark and evaluation adequacy
OHFNJoNtjW,ICLR 2026,Multimodal LLM-assisted Evolutionary Search for Programmatic Control Policies,reject_to_accept,0,Benchmark and evaluation adequacy
nFjj8NEBqv,ICLR 2026,SERQ: Saliency-Aware Low-Rank Error Reconstruction for LLM Quantization,reject_to_accept,0,Benchmark and evaluation adequacy
U4GXPqm3Va,ICLR 2026,Toward Complex-Valued Neural Networks for Waveform Generation,reject_to_accept,0,Benchmark and evaluation adequacy
qDGiMrUVmc,ICLR 2026,SONIC: Spectral Oriented Neural Invariant Convolutions,reject_to_accept,0,Benchmark and evaluation adequacy
uqT7TAhwrm,ICLR 2026,DTP: Delta-Guided Two Stage Pruning for Mamba-based Multimodal Large Language Models,reject_to_accept,0,Benchmark and evaluation adequacy
BTe5VLBjPg,ICLR 2026,VITA: Vision-to-Action Flow Matching Policy,reject_to_accept,0,Benchmark and evaluation adequacy
PR1PPxvG9Q,ICLR 2026,Frequency Bands in RoPE: Base Frequency and Context Length Shape the Interpolation–Extrapolation Trade-off,reject_to_accept,0,Benchmark and evaluation adequacy
WAQhCifBSb,ICLR 2026,Learning to Summarize by Learning to Quiz: Adversarial Agentic Collaboration for Long Document Summarization,reject_to_accept,0,Benchmark and evaluation adequacy
LBtWaUc7FE,ICLR 2026,ReFusion: A Diffusion Large Language Model with Parallel Autoregressive Decoding,reject_to_accept,0,Benchmark and evaluation adequacy
8iEsrg51Fs,ICLR 2026,SciNav: A General Agent Framework for Scientific Coding Tasks,reject_to_accept,0,Benchmark and evaluation adequacy
aIBFTh2ThF,ICLR 2026,Robust Fine-Tuning from Non-Robust Pretrained Models: Mitigating Suboptimal Transfer With Epsilon-Scheduling,reject_to_accept,0,Benchmark and evaluation adequacy
ZC2N9q8USm,ICLR 2026,ForestPersons: A Large-Scale Dataset for Under-Canopy Missing Person Detection,reject_to_accept,0,Benchmark and evaluation adequacy
xpHiVf0xhf,ICLR 2026,Learning Better Certified Models from Empirically-Robust Teachers,accept_to_reject,0,Benchmark and evaluation adequacy
hOasxhAGcg,ICLR 2026,Preventing Latent Reharsal Decay in Online Continual SSL with SOLAR,accept_to_reject,0,Benchmark and evaluation adequacy
zqA7Q9Q21L,ICLR 2026,R2PS: Worst-Case Robust Real-Time Pursuit Strategies under Partial Observability,reject_to_accept,0,Benchmark and evaluation adequacy
B8BXHrshMi,ICLR 2026,FlexRibbon: Joint Sequence and Structure Pretraining for Protein Modeling,reject_to_accept,0,Benchmark and evaluation adequacy
bqEi97qzzz,ICLR 2026,RepSpec: Structural Re-parameterized Draft Model Training for Speculative Decoding,reject_to_accept,0,Benchmark and evaluation adequacy
hRfJjmsibX,ICLR 2026,Pyramid Patchification Flow for Visual Generation,reject_to_accept,0,Benchmark and evaluation adequacy
t0Dh91HXdQ,ICLR 2026,CoBiSyn: A Bidirectional Search Framework for Chemical Synthesis Planning,accept_to_reject,0,Benchmark and evaluation adequacy
eC4ygDs02R,ICLR 2026,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,reject_to_accept,0,Benchmark and evaluation adequacy
kpT5rbbLdY,ICLR 2026,SIPDO: Closed-Loop Prompt Optimization via Synthetic Data Feedback,reject_to_accept,0,Benchmark and evaluation adequacy
mMLI1u1UvQ,ICLR 2026,Estimating structural shifts in graph domain adaptation via pairwise likelihood maximization,accept_to_reject,0,Benchmark and evaluation adequacy
CFLlRCyqOf,ICLR 2026,Preemptive Detection and Steering of LLM Misalignment via Latent Reachability,accept_to_reject,0,Benchmark and evaluation adequacy
2El3N64oAH,ICLR 2026,"Matrix-Free Least Squares Solvers: Values, Gradients, and What to Do With Them",accept_to_reject,0,Benchmark and evaluation adequacy
r4ZamwBE8P,ICLR 2026,"Towards Robust Real-World Multivariate Time Series Forecasting: A Unified Framework for Dependency, Asynchrony, and Missingness",reject_to_accept,0,Benchmark and evaluation adequacy
NCxjfPjd3z,ICLR 2026,NoiseSDF2NoiseSDF: Learning Clean Neural Fields from Noisy Supervision,accept_to_reject,0,Benchmark and evaluation adequacy
2NLkhPex1M,ICLR 2026,AgilePruner: An Empirical Study of Attention and Diversity for Adaptive Visual Token Pruning in Large Vision-Language Models,reject_to_accept,0,Benchmark and evaluation adequacy
qe060gmfm7,ICLR 2026,On the Design of KL-Regularized Policy Gradient Algorithms for LLM Reasoning,reject_to_accept,0,Benchmark and evaluation adequacy
cvZhXILRLI,ICLR 2026,Bayesian Neural Networks for Functional ANOVA Model,reject_to_accept,0,Benchmark and evaluation adequacy
nsqu9ug4Kp,ICLR 2026,Online Differential Privacy Bayesian Optimization with Sliced Wasserstein Compression,accept_to_reject,0,Benchmark and evaluation adequacy
h6VtqCN9m3,ICLR 2026,Certified Evaluation of Model-Level Explanations for Graph Neural Networks,reject_to_accept,0,Benchmark and evaluation adequacy
5RATVAQGPx,ICLR 2026,Jackpot: Align Actor-Policy Distribution for scalable and stable RL for LLM,reject_to_accept,0,Benchmark and evaluation adequacy
sG8dGZMaub,ICLR 2026,Syncphony: Synchronized Audio-to-Video Generation with Diffusion Transformers,reject_to_accept,0,Benchmark and evaluation adequacy
ebgsbC4x5W,ICLR 2026,Online Rubrics Elicitation from Pairwise Comparisons,accept_to_reject,0,Benchmark and evaluation adequacy
sGrrKMK0cn,ICLR 2026,GAS: Enhancing Reward-Cost Balance of Generative Model-assisted Offline Safe RL,reject_to_accept,0,Benchmark and evaluation adequacy
yzwSzhqLpH,ICLR 2026,Entropy-Guided Dynamic Tokens for Graph-LLM Alignment in Molecular Understanding,reject_to_accept,0,Benchmark and evaluation adequacy
VHQc7wzmYv,ICLR 2026,TokUR: Token-Level Uncertainty Estimation for Large Language Model Reasoning,reject_to_accept,0,Benchmark and evaluation adequacy
qQ5MZ5Mx7p,ICLR 2026,IterResearch: Rethinking Long-Horizon Agents with Interaction Scaling,reject_to_accept,0,Benchmark and evaluation adequacy
WZYxJhvAvD,ICLR 2026,Watch the Weights: Unsupervised monitoring and control of fine-tuned LLMs,reject_to_accept,0,Benchmark and evaluation adequacy
