case_type,venue,domain,year,paper_id,paper_number,forum_url,title,decision,decision_label,has_decision_note,decision_note,n_reviews,n_scored_reviews,scores,confidences,mean_score,median_score,confidence_weighted_mean,accept_threshold,accept_votes,reject_votes,reviewer_majority,has_meta_review,meta_signature,meta_review,public_discussion_count,public_discussion_word_count,public_author_response_count,public_reviewer_followup_count,public_ac_pc_comment_count
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,AXXCo0pOSO,8745,https://openreview.net/forum?id=AXXCo0pOSO,Scalable Supervising Software Agents with Patch Reasoner,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 6 8 6,5 3 4 4,6.5,6.0,6.5,6,4,0,accept,True,ICLR.cc/2026/Conference/Submission8745/Area_Chair_BZaR,evidence/baselines; correctness/theory; unresolved rebuttal; scope/significance; presentation/readability,10,5201,9,0,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,EFYb8SsRi7,11770,https://openreview.net/forum?id=EFYb8SsRi7,Error Analysis of Discrete Flow with Generator Matching,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,4 8 6 8,3 3 4 3,6.5,7.0,6.461538461538462,6,3,1,accept,True,ICLR.cc/2026/Conference/Submission11770/Area_Chair_GrpJ,novelty/positioning; evidence/baselines; correctness/theory; unresolved rebuttal; scope/significance,12,5235,9,3,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,05hNleYOcG,9695,https://openreview.net/forum?id=05hNleYOcG,PLAGUE: Plug-and-play Framework for Lifelong Adaptive Generation of Multi-turn Jailbreaks,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,2 2 4 2,5 5 3 4,2.5,2.0,2.3529411764705883,6,0,4,reject,True,ICLR.cc/2026/Conference/Submission9695/Area_Chair_zeSf,novelty/positioning; evidence/baselines; scope/significance; presentation/readability,10,2638,9,1,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,Q9gz8lVyAi,2189,https://openreview.net/forum?id=Q9gz8lVyAi,GAGA: Gaussianity-Aware Gaussian Approximation for Efficient 3D Molecular Generation,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),3,3,4 2 2,4 4 3,2.6666666666666665,2.0,2.727272727272727,6,0,3,reject,True,ICLR.cc/2026/Conference/Submission2189/Area_Chair_Sqbx,novelty/positioning; evidence/baselines; correctness/theory; presentation/readability; reproducibility/implementation,13,5852,11,2,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,khBHJz2wcV,17809,https://openreview.net/forum?id=khBHJz2wcV,Physics-Constrained Fine-Tuning of Flow-Matching Models for Generation and Inverse Problems,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,4 6 2 0,4 3 4 4,3.0,3.0,2.8,6,1,3,reject,True,ICLR.cc/2026/Conference/Submission17809/Area_Chair_azfW,novelty/positioning; evidence/baselines; scope/significance,10,3861,8,2,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,b1ITgc4J4M,22077,https://openreview.net/forum?id=b1ITgc4J4M,Residual Feature Integration is Sufficient to Prevent Negative Transfer,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,4 2 4 2,3 4 4 4,3.0,3.0,2.933333333333333,6,0,4,reject,True,ICLR.cc/2026/Conference/Submission22077/Area_Chair_GmPh,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; presentation/readability,5,3304,5,0,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,JMmljf895g,14500,https://openreview.net/forum?id=JMmljf895g,Not-a-Bandit: Provably No-Regret Drafter Selection in Speculative Decoding for LLMs,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,4 2 2 4,4 5 4 4,3.0,3.0,2.9411764705882355,6,0,4,reject,True,ICLR.cc/2026/Conference/Submission14500/Area_Chair_WAyu,novelty/positioning; evidence/baselines; correctness/theory; unresolved rebuttal; calibration/process,20,11120,20,0,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,ioYdy7aghG,16465,https://openreview.net/forum?id=ioYdy7aghG,Tab-MIA: A Benchmark Dataset for Membership Inference Attacks on Tabular Data in LLMs,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,0 4 2 6,4 4 4 4,3.0,3.0,3.0,6,1,3,reject,True,ICLR.cc/2026/Conference/Submission16465/Area_Chair_zTyz,novelty/positioning; evidence/baselines; scope/significance; reproducibility/implementation; ethics/safety,8,3401,6,2,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,4K2NNr9W5C,1174,https://openreview.net/forum?id=4K2NNr9W5C,Pay Less Attention to Function Words for Free Robustness of Vision-Language Models,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,2 2 4 4,4 4 4 4,3.0,3.0,3.0,6,0,4,reject,True,ICLR.cc/2026/Conference/Submission1174/Area_Chair_ckYh,novelty/positioning; evidence/baselines; unresolved rebuttal; scope/significance; calibration/process,29,7493,23,6,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,YAWpZcXHnP,8465,https://openreview.net/forum?id=YAWpZcXHnP,Rigidity-Aware Geometric Pretraining for Protein Design and Conformational Ensembles,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,2 2 2 6,4 4 3 4,3.0,2.0,3.066666666666667,6,1,3,reject,True,ICLR.cc/2026/Conference/Submission8465/Area_Chair_a6Br,novelty/positioning; evidence/baselines; presentation/readability; calibration/process,6,2417,6,0,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,itUo64aUeK,22417,https://openreview.net/forum?id=itUo64aUeK,"Overtone: Cyclic Patch Modulation for Clean, Efficient, and Flexible Physics Emulators",accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,2 4 2 4,4 4 3 4,3.0,3.0,3.066666666666667,6,0,4,reject,True,ICLR.cc/2026/Conference/Submission22417/Area_Chair_uLk6,novelty/positioning; evidence/baselines; correctness/theory; unresolved rebuttal; scope/significance,5,2366,5,0,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,gdafM5zp1h,20653,https://openreview.net/forum?id=gdafM5zp1h,TAVAE: A VAE with Adaptable Priors Explains Contextual Modulation in the Visual Cortex,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),3,3,2 2 6,4 4 3,3.3333333333333335,2.0,3.090909090909091,6,1,2,reject,True,ICLR.cc/2026/Conference/Submission20653/Area_Chair_CM8M,evidence/baselines; unresolved rebuttal; scope/significance; calibration/process,18,6480,16,2,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,DYjyFDn8K7,18344,https://openreview.net/forum?id=DYjyFDn8K7,Fine-Tuning Diffusion Models via Intermediate Distribution Shaping,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),3,3,2 2 6,3 5 3,3.3333333333333335,2.0,3.090909090909091,6,1,2,reject,True,ICLR.cc/2026/Conference/Submission18344/Area_Chair_JuNn,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; calibration/process,13,5484,12,1,0
ICLR 2026 reject_to_accept,ICLR 2026,ICLR.cc/2026/Conference,2026,4sGEvpwyxN,18192,https://openreview.net/forum?id=4sGEvpwyxN,High-Probability Bounds for the Last Iterate of Clipped SGD,accept,ICLR.cc/2026/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,2 2 6 2,3 4 4 3,3.0,2.0,3.142857142857143,6,1,3,reject,True,ICLR.cc/2026/Conference/Submission18192/Area_Chair_xBKf,correctness/theory; presentation/readability,18,6308,12,6,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,feFlfuOse1,5227,https://openreview.net/forum?id=feFlfuOse1,Gymnasium: A Standard Interface for Reinforcement Learning Environments,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,5 10 6 8,3 5 2 5,7.25,7.0,7.8,6,3,1,accept,True,ICLR.cc/2025/Conference/Submission5227/Area_Chair_2wiF,scope/significance; calibration/process,5,1391,4,1,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,jsVehKnSj4,10460,https://openreview.net/forum?id=jsVehKnSj4,Minimax-optimal trust-aware multi-armed bandits,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 8 6 8,4 4 3 3,7.5,8.0,7.571428571428571,6,4,0,accept,True,ICLR.cc/2025/Conference/Submission10460/Area_Chair_w526,correctness/theory,9,2855,6,3,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,LC2KxRwC3n,8043,https://openreview.net/forum?id=LC2KxRwC3n,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoencoders,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 6 8 8,3 3 4 4,7.5,8.0,7.571428571428571,6,4,0,accept,True,ICLR.cc/2025/Conference/Submission8043/Area_Chair_xZjR,evidence/baselines; scope/significance; presentation/readability; reproducibility/implementation,14,3114,7,5,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,j7b4mm7Ec9,6590,https://openreview.net/forum?id=j7b4mm7Ec9,Towards Lightweight Deep Watermarking Framework,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,5,5,8 8 8 8 6,3 3 4 3 4,7.6,8.0,7.529411764705882,6,5,0,accept,True,ICLR.cc/2025/Conference/Submission6590/Area_Chair_SbKv,evidence/baselines; reproducibility/implementation,18,6549,16,2,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,eciCtsqGc8,4588,https://openreview.net/forum?id=eciCtsqGc8,Interpretable Pre-Trained Transformers for Heart Time-Series Data,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,3,3,6 8 8,3 5 4,7.333333333333333,8.0,7.5,6,3,0,accept,True,ICLR.cc/2025/Conference/Submission4588/Area_Chair_gKLA,novelty/positioning; scope/significance; presentation/readability,9,3633,6,3,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,p1HeFnn2AA,10726,https://openreview.net/forum?id=p1HeFnn2AA,Deep Learning for Two-Sided Matching,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,3,3,8 8 6,4 3 4,7.333333333333333,8.0,7.2727272727272725,6,3,0,accept,True,ICLR.cc/2025/Conference/Submission10726/Area_Chair_h23s,novelty/positioning; scope/significance; reproducibility/implementation,7,1208,5,2,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,NzEIjnIIzv,10555,https://openreview.net/forum?id=NzEIjnIIzv,Bitune: Leveraging Bidirectional Attention to Improve Decoder-Only LLMs,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 10 5 8,4 4 4 4,7.25,7.0,7.25,6,3,1,accept,True,ICLR.cc/2025/Conference/Submission10555/Area_Chair_x8Aw,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; presentation/readability,14,2904,9,5,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,GYik1jT3gE,12120,https://openreview.net/forum?id=GYik1jT3gE,Initialization Matters: Unraveling the Impact of Pre-Training on Federated Learning,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 8 6 6,3 5 3 3,7.0,7.0,7.142857142857143,6,4,0,accept,True,ICLR.cc/2025/Conference/Submission12120/Area_Chair_km5s,evidence/baselines; correctness/theory; presentation/readability,18,6765,12,3,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,ak7r4He1qH,12559,https://openreview.net/forum?id=ak7r4He1qH,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,5,5,6 8 8 8 6,5 3 4 4 4,7.2,8.0,7.1,6,5,0,accept,True,ICLR.cc/2025/Conference/Submission12559/Area_Chair_PWjf,evidence/baselines; correctness/theory; scope/significance; reproducibility/implementation; ethics/safety,20,7081,12,7,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,1IeCqgULIM,3031,https://openreview.net/forum?id=1IeCqgULIM,Abstracting and Refining Provably Sufficient Explanations of Neural Network Predictions,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 8 5 8,3 3 3 1,7.25,8.0,7.1,6,3,1,accept,True,ICLR.cc/2025/Conference/Submission3031/Area_Chair_oM6c,evidence/baselines; reproducibility/implementation,18,5416,13,5,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,Q7uE3M5aMD,2431,https://openreview.net/forum?id=Q7uE3M5aMD,Discrimination-free Insurance Pricing with Privatized Sensitive Attributes,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 8 8 6,2 3 3 3,7.0,7.0,7.090909090909091,6,4,0,accept,True,ICLR.cc/2025/Conference/Submission2431/Area_Chair_vZXk,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; presentation/readability,29,9013,22,7,0
ICLR 2025 accept_to_reject,ICLR 2025,ICLR.cc/2025/Conference,2025,s5N7p5UjgR,11801,https://openreview.net/forum?id=s5N7p5UjgR,Markovian Transformers for Informative Language Modeling,reject,ICLR.cc/2025/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,5 6 6 10,2 4 4 4,6.75,6.0,7.0,6,3,1,accept,True,ICLR.cc/2025/Conference/Submission11801/Area_Chair_HVJ3,evidence/baselines; scope/significance; reproducibility/implementation,15,3857,10,5,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,zd0iX5xBhA,8744,https://openreview.net/forum?id=zd0iX5xBhA,System 1.x: Learning to Balance Fast and Slow Planning with Language Models,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,5 6 3 1,4 4 5 5,3.75,4.0,3.5555555555555554,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission8744/Area_Chair_CAwX,"Meta-review rationale present, no simple keyword theme",11,4796,8,3,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,6ouZaBzeNO,10262,https://openreview.net/forum?id=6ouZaBzeNO,Physiome-ODE: A Benchmark for Irregularly Sampled Multivariate Time-Series Forecasting Based on Biological ODEs,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,6 3 3 3,3 3 4 4,3.75,3.0,3.642857142857143,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission10262/Area_Chair_KZjZ,evidence/baselines; unresolved rebuttal,8,1911,4,4,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,BH8Nrt2dPf,3310,https://openreview.net/forum?id=BH8Nrt2dPf,Horizon Generalization in Reinforcement Learning,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,3 3 5 6,4 4 3 2,4.25,4.0,3.923076923076923,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission3310/Area_Chair_qUqJ,novelty/positioning; evidence/baselines; correctness/theory; presentation/readability,19,4723,17,2,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,F52tAK5Gbg,3224,https://openreview.net/forum?id=F52tAK5Gbg,Differentially private optimization for non-decomposable objective functions,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),5,5,6 1 5 3 5,4 4 4 4 3,4.0,5.0,3.9473684210526314,6,1,4,reject,True,ICLR.cc/2025/Conference/Submission3224/Area_Chair_fCgh,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; presentation/readability,19,5083,13,6,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,G7sIFXugTX,13886,https://openreview.net/forum?id=G7sIFXugTX,SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,3 5 5 3,3 3 4 4,4.0,4.0,4.0,6,0,4,reject,True,ICLR.cc/2025/Conference/Submission13886/Area_Chair_gjLi,novelty/positioning; scope/significance; reproducibility/implementation,22,6136,15,7,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,VYWBMq1L7H,12835,https://openreview.net/forum?id=VYWBMq1L7H,MrT5: Dynamic Token Merging for Efficient Byte-level Language Models,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,6 5 3 3,4 4 4 5,4.25,4.0,4.176470588235294,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission12835/Area_Chair_auUJ,novelty/positioning; evidence/baselines; scope/significance; presentation/readability; calibration/process,14,5206,13,1,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,8zxGruuzr9,4786,https://openreview.net/forum?id=8zxGruuzr9,Do LLMs have Consistent Values?,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,5 3 6 3,3 4 4 4,4.25,4.0,4.2,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission4786/Area_Chair_Rtnv,novelty/positioning; evidence/baselines; correctness/theory; scope/significance,0,0,0,0,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,3fGtV4Zfgq,6495,https://openreview.net/forum?id=3fGtV4Zfgq,Fast training and sampling of Restricted Boltzmann Machines,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,3 6 5 3,3 4 5 4,4.25,4.0,4.375,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission6495/Area_Chair_SE3x,evidence/baselines,31,12514,22,9,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,5WEpbilssv,3942,https://openreview.net/forum?id=5WEpbilssv,Contextualizing biological perturbation experiments through language,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),5,5,6 3 5 6 3,3 3 3 4 5,4.6,5.0,4.5,6,2,3,reject,True,ICLR.cc/2025/Conference/Submission3942/Area_Chair_ViiQ,scope/significance; presentation/readability,21,5616,15,6,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,LIBLIlk5M9,3389,https://openreview.net/forum?id=LIBLIlk5M9,CPSample: Classifier Protected Sampling for Guarding Training Data During Diffusion,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,5 3 5 5,4 4 4 4,4.5,5.0,4.5,6,0,4,reject,True,ICLR.cc/2025/Conference/Submission3389/Area_Chair_DVmr,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; presentation/readability,9,3575,5,4,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,FEpAUnS7f7,12643,https://openreview.net/forum?id=FEpAUnS7f7,Empowering Users in Digital Privacy Management through Interactive LLM-Based Agents,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),5,5,6 5 5 3 5,2 4 4 5 2,4.8,5.0,4.529411764705882,6,1,4,reject,True,ICLR.cc/2025/Conference/Submission12643/Area_Chair_bxn6,evidence/baselines; reproducibility/implementation; ethics/safety,9,4900,7,2,0
ICLR 2025 reject_to_accept,ICLR 2025,ICLR.cc/2025/Conference,2025,bmbRCRiNDu,7777,https://openreview.net/forum?id=bmbRCRiNDu,Dualformer: Controllable Fast and Slow Thinking by Learning with Randomized Reasoning Traces,accept,ICLR.cc/2025/Conference,True,title: Paper Decision | decision: Accept (Poster),4,4,5 3 5 6,3 5 5 3,4.75,5.0,4.5625,6,1,3,reject,True,ICLR.cc/2025/Conference/Submission7777/Area_Chair_CzRT,evidence/baselines; correctness/theory; presentation/readability,21,5288,17,4,0
ICLR 2024 accept_to_reject,ICLR 2024,ICLR.cc/2024/Conference,2024,HL5P4H8eO2,1693,https://openreview.net/forum?id=HL5P4H8eO2,Differentiable Trajectory Optimization as a Policy Class for Reinforcement and Imitation Learning,reject,ICLR.cc/2024/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 6 8 10,4 3 4 4,8.0,8.0,8.133333333333333,6,4,0,accept,True,ICLR.cc/2024/Conference/Submission1693/Area_Chair_e48K,novelty/positioning; calibration/process,13,4307,9,1,0
ICLR 2024 accept_to_reject,ICLR 2024,ICLR.cc/2024/Conference,2024,MEbNz44926,1953,https://openreview.net/forum?id=MEbNz44926,Flexible Residual Binarization for Image Super-Resolution,reject,ICLR.cc/2024/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 8 8 8,4 4 5 4,8.0,8.0,8.0,6,4,0,accept,True,ICLR.cc/2024/Conference/Program_Chairs,novelty/positioning; scope/significance; calibration/process,10,3361,6,4,0
